dataset_id,data_name,ResNet_Test,ResNet_P1,ResNet_P2,ResNet_P3,SMLP_Test,SMLP_P1,SMLP_P2,SMLP_P3
266,segment,0.9826839566230774,0.927489161491394,0.9902597665786743,0.9994588494300842,0.963203489780426,0.2169913351535797,0.2229437232017517,0.22997835278511047
273,spambase,0.927115797996521,0.9307065010070801,0.9877716898918152,0.9964673519134521,0.9450221061706543,0.6092391014099121,0.6133151650428772,0.616576075553894
275,splice,0.9569574594497681,0.9858933687210083,0.9996080994606018,0.9996080994606018,0.9559645056724548,0.5207679867744446,0.5254701972007751,0.5250783562660217
288,waveform-5000,0.8200451135635376,0.8842500448226929,0.9850000739097595,1.0,0.831059992313385,0.398000031709671,0.4090000092983246,0.4090000092983246
1767,kr-vs-kp,0.9953720569610596,0.9831768274307251,1.0,1.0,0.9922410249710083,0.5860719680786133,0.5700312852859497,0.5684663653373718
1778,mfeat-fourier,0.8299999237060547,0.8781249523162842,0.9975000023841858,1.0,0.8074999451637268,0.28125,0.2750000059604645,0.2681249976158142
254,mushroom,0.9999999403953552,0.9966148734092712,1.0,1.0,0.9999999403953552,0.5379289388656616,0.5316202640533447,0.5433143377304077
252,mfeat-zernike,0.8199999332427979,0.8587499856948853,0.95374995470047,0.9562499523162842,0.8199999332427979,0.24312499165534973,0.24249999225139618,0.2449999898672104
253,cmc,0.4221121370792389,0.5747029185295105,0.7224108576774597,0.9439728260040283,0.5167997479438782,0.5033956170082092,0.4821731746196747,0.4898132383823395
258,optdigits,0.9884313941001892,0.9733095765113831,0.9997775554656982,1.0,0.9848514795303345,0.17949287593364716,0.18727758526802063,0.17927046120166779
260,page-blocks,0.9170657396316528,0.9266788959503174,0.9618547558784485,0.9824120998382568,0.8895623683929443,0.8967565298080444,0.8974418044090271,0.897213339805603
233,kr-vs-kp,0.9968689680099487,0.9808294177055359,1.0,1.0,0.993738055229187,0.5661189556121826,0.5602504014968872,0.5669013857841492
244,mfeat-fourier,0.8074999451637268,0.8849999904632568,0.9987499713897705,1.0,0.8124999403953552,0.2887499928474426,0.296875,0.29999998211860657
246,mfeat-karhunen,0.9424999952316284,0.9824999570846558,1.0,1.0,0.9549999237060547,0.25187498331069946,0.2487500011920929,0.2574999928474426
248,mfeat-morphological,0.7174999713897705,0.731249988079071,0.7831249833106995,0.8781249523162842,0.7774999737739563,0.1731249988079071,0.1743749976158142,0.1706250011920929
1780,mfeat-karhunen,0.9649999141693115,0.9768750071525574,1.0,1.0,0.949999988079071,0.2787500023841858,0.2731249928474426,0.27250000834465027
1782,mfeat-morphological,0.6949999332427979,0.734375,0.7856249809265137,0.8831250071525574,0.7724999785423279,0.17749999463558197,0.1837499886751175,0.18062499165534973
1786,mfeat-zernike,0.8049999475479126,0.8606249690055847,0.9549999833106995,0.9562499523162842,0.8049999475479126,0.23124998807907104,0.2581250071525574,0.24187499284744263
1787,cmc,0.43409469723701477,0.6001697778701782,0.7054329514503479,0.9397283792495728,0.5105797052383423,0.4940577447414398,0.4932088255882263,0.5059422850608826
1788,mushroom,0.9999999403953552,0.9979997277259827,1.0,1.0,0.9999999403953552,0.5377750396728516,0.5442375540733337,0.540852427482605
1792,optdigits,0.9902170896530151,0.976201057434082,0.9997775554656982,1.0,0.9830577373504639,0.18082739412784576,0.17593416571617126,0.18171708285808563
1794,page-blocks,0.9201005101203918,0.9273641109466553,0.9645957350730896,0.9778437614440918,0.9255146980285645,0.8974418044090271,0.8974418044090271,0.8974418044090271
1800,segment,0.9805194735527039,0.926948070526123,0.9886363744735718,0.9989177584648132,0.9567099809646606,0.2348484843969345,0.22510822117328644,0.23322510719299316
1807,spambase,0.9275304675102234,0.9328804016113281,0.9869564771652222,0.9970108270645142,0.9323439598083496,0.6225543022155762,0.6211956143379211,0.6222825646400452
1809,splice,0.9497718811035156,0.989811897277832,0.9996080994606018,0.9996080994606018,0.9548071026802063,0.526253879070282,0.5317397713661194,0.5227272510528564
1822,waveform-5000,0.802189290523529,0.8842500448226929,0.9745000600814819,1.0,0.8079604506492615,0.40575000643730164,0.41350001096725464,0.398000031709671
1883,kr-vs-kp,0.9968689680099487,0.9851329922676086,1.0,1.0,0.9922410249710083,0.5903756022453308,0.5946791768074036,0.5872457027435303
1894,mfeat-fourier,0.7999999523162842,0.8849999904632568,0.9975000023841858,1.0,0.8199999332427979,0.28999999165534973,0.296875,0.2906250059604645
1896,mfeat-karhunen,0.9599999785423279,0.9749999642372131,1.0,1.0,0.9499999284744263,0.2549999952316284,0.2537499964237213,0.25312498211860657
1898,mfeat-morphological,0.7324999570846558,0.7287499904632568,0.7881249785423279,0.8768749833106995,0.7699999809265137,0.16749998927116394,0.16624999046325684,0.16749998927116394
